,organization_element,education_element,radiologist_id
2658,University of Michigan Health System,Internship,/doctors/james-port-347990
2659,Rutgers New Jersey Medical School,Residency,/doctors/james-port-347990
2660,Kern Medical Center,Internship,/doctors/james-port-347990
2666,University of Southern California/LACUSC Medical Center,Residency,/doctors/nathan-green-431182
2667,Los Angeles County-Harbor-UCLA Medical Center,Internship,/doctors/nathan-green-431182
2668,VA Greater Los Angeles Healthcare System,Residency,/doctors/nathan-green-431182
2669,Los Angeles County-Harbor-UCLA Medical Center,Residency,/doctors/nathan-green-431182
2670,University of Southern California/LACUSC Medical Center,Residency,/doctors/nathan-green-431182
2671,Los Angeles County-Harbor-UCLA Medical Center,Internship,/doctors/nathan-green-431182
2672,VA Greater Los Angeles Healthcare System,Residency,/doctors/nathan-green-431182
2673,Los Angeles County-Harbor-UCLA Medical Center,Internship,/doctors/nathan-green-431182
2674,Oregon Health  Science University Hospital,Residency,/doctors/purnima-shah-387304
2675,Beaumont Health,Residency,/doctors/purnima-shah-387304
2676,Beaumont Health,Residency,/doctors/purnima-shah-387304
2677,Crittenton Hospital,Residency,/doctors/purnima-shah-387304
2678,Mercy St Vincent Medical Center,Residency,/doctors/purnima-shah-387304
2679,SUNY Downstate Health Sciences University,Residency,/doctors/arash-afari-612639
2680,Norwalk Hospital,Internship,/doctors/arash-afari-612639
2684,New York Presbyterian Hospital,"Fellowship, New York Presbyterian Hospital (Columbia and Cornell Campus)",/doctors/jennie-brodsky-717605
2685,SUNY Downstate Health Sciences University,Residency,/doctors/jennie-brodsky-717605
2686,Flushing Hospital Medical Center,Internship,/doctors/jennie-brodsky-717605
2689,New York Presbyterian Hospital,Fellowship,/doctors/jennie-brodsky-717605
2690,SUNY Downstate Health Sciences University,Residency,/doctors/jennie-brodsky-717605
2691,Flushing Hospital Medical Center,Internship,/doctors/jennie-brodsky-717605
2694,Mayo Clinic College of Medicine and Science,Fellowship,/doctors/noah-chasen-739679
2695,Baylor College of Medicine,Residency,/doctors/noah-chasen-739679
2696,John Peter Smith Hospital (Tarrant County Hospital District),Internship,/doctors/noah-chasen-739679
2701,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/bonnie-flannigan-339833
2702,Beth Israel Deaconess Medical Center,Internship,/doctors/alina-kravtsova-993549
2703,Beth Israel Deaconess Medical Center,Residency,/doctors/alina-kravtsova-993549
2704,Loma Linda University Health Education Consortium,Internship,/doctors/alina-kravtsova-993549
2705,Florida Atlantic University Charles E. Schmidt College of Medicine,Residency,/doctors/alina-kravtsova-993549
2707,Beth Israel Deaconess Medical Center,Residency,/doctors/alina-kravtsova-993549
2708,Beth Israel Deaconess Medical Center,Internship,/doctors/alina-kravtsova-993549
2709,Loma Linda University Health Education Consortium,Residency,/doctors/alina-kravtsova-993549
2710,Florida Atlantic University Charles E. Schmidt College of Medicine,Internship,/doctors/alina-kravtsova-993549
2712,University of California (San Diego) Medical Center,Residency,/doctors/robert-lee-515626
2713,Case Western Reserve University/University Hospitals Cleveland Medical Center,Residency,/doctors/robert-lee-515626
2714,Summa Health System,Fellowship,/doctors/robert-lee-515626
2718,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/stephanie-histed-907411
2719,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/stephanie-histed-907411
2723,Temple University Hospital,Fellowship,/doctors/eric-white-72026
2724,Albert Einstein Medical Center,Fellowship,/doctors/eric-white-72026
2727,Temple University Hospital,Fellowship,/doctors/eric-white-72026
2728,Albert Einstein Medical Center,Fellowship,/doctors/eric-white-72026
2731,University of Illinois College of Medicine at Chicago,Residency,/doctors/leroy-clark-384724
2732,Michael Reese Hospital and Medical Center,Internship,/doctors/leroy-clark-384724
2734,UPMC Medical Education,Internship,/doctors/jerald-einziger-371133
2735,Strong Memorial Hospital of the University of Rochester,Fellowship,/doctors/jerald-einziger-371133
2736,University of Southern California/LACUSC Medical Center,Residency,/doctors/jerald-einziger-371133
2738,NYU Long Island School of Medicine,Internship,/doctors/rita-gidwaney-929414
2741,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/shwayta-kukreti-830990
2742,Carle Foundation Hospital,Internship,/doctors/shwayta-kukreti-830990
2745,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/shwayta-kukreti-830990
2746,Carle Foundation Hospital,Internship,/doctors/shwayta-kukreti-830990
2749,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/jack-chen-753
2750,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/jack-chen-753
2751,Stanford Health Care,Residency,/doctors/jack-chen-753
2752,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/richard-gritz-387847
2753,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/richard-gritz-387847
2754,Cedars-Sinai Medical Center,Internship,/doctors/richard-gritz-387847
2759,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/robert-lufkin-2775171
2760,Oregon Health  Science University Hospital,Residency,/doctors/robert-lufkin-2775171
2787,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/robert-lufkin-2775171
2788,Oregon Health  Science University Hospital,Internship,/doctors/robert-lufkin-2775171
2815,NYP Hosp-Weill Cornell Med Ctr,Residency,/doctors/david-rubenstein-387483
2816,Cedars-Sinai Medical Center,Internship,/doctors/david-rubenstein-387483
2817,University of Connecticut School of Medicine,Fellowship,/doctors/david-rubenstein-387483
2818,Cedars-Sinai Medical Center,Residency,/doctors/charles-wexler-610665
2819,Interfaith Medical Center,Internship,/doctors/charles-wexler-610665
2820,Interfaith Medical Center,Fellowship,/doctors/charles-wexler-610665
2839,University Hospital - University of Cincinnati College of Medicine,Residency,/doctors/james-jefferson-722651
2840,VA Greater Los Angeles Healthcare System,Internship,/doctors/james-jefferson-722651
2841,University Hospital - University of Cincinnati College of Medicine,Residency,/doctors/james-jefferson-722651
2842,VA Greater Los Angeles Healthcare System,Residency,/doctors/james-jefferson-722651
2843,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/hellal-dabbous-608616
2844,Jefferson Frankford Hospital,Residency,/doctors/hellal-dabbous-608616
2846,Cedars-Sinai Medical Center,Residency,/doctors/myra-feffer-553240
2847,Cedars-Sinai Medical Center,Internship,/doctors/myra-feffer-553240
2848,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/myra-feffer-553240
2849,Cedars-Sinai Medical Center,Internship,/doctors/myra-feffer-553240
2850,Cedars-Sinai Medical Center,Fellowship,/doctors/myra-feffer-553240
2851,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/myra-feffer-553240
2852,USA Health,Internship,/doctors/stephanie-heinlen-376852
2853,Louisiana State University School of Medicine,Residency,/doctors/stephanie-heinlen-376852
2876,University of California (San Diego) Medical Center,Residency,/doctors/nina-kottler-311750
2877,St Vincent Hospital,Other Training,/doctors/nina-kottler-311750
2878,UMass Chan Medical School,Residency,/doctors/nina-kottler-311750
2879,,Internship,/doctors/nina-kottler-311750
2880,,Residency,/doctors/nina-kottler-311750
2916,University of California (San Diego) Medical Center,Residency,/doctors/nina-kottler-311750
2917,St Vincent Hospital,Residency,/doctors/nina-kottler-311750
2918,UMass Chan Medical School,Residency,/doctors/nina-kottler-311750
2919,,Residency,/doctors/nina-kottler-311750
2920,,Fellowship,/doctors/nina-kottler-311750
2956,New York Presbyterian Hospital,Residency,/doctors/brij-reddy-726942
2957,Memorial Sloan Kettering Cancer Center,Residency,/doctors/brij-reddy-726942
2958,BronxCare Health System,Internship,/doctors/brij-reddy-726942
2959,Loyola University Medical Center,Fellowship,/doctors/brij-reddy-726942
2965,University of Southern California/LACUSC Medical Center,Fellowship,/doctors/earl-landau-357209
2966,University of Southern California/LACUSC Medical Center,Residency,/doctors/earl-landau-357209
2968,Washington University in St. Louis School of Medicine,"Residency, Washington University/B-JH/SLCH Consortium",/doctors/mohammad-dadsetan-560738
2969,St Louis University School of Medicine,Other Training,/doctors/mohammad-dadsetan-560738
2973,Washington University in St. Louis School of Medicine,Residency,/doctors/mohammad-dadsetan-560738
2974,St Louis University School of Medicine,"Residency, St Louis University School of Medicine",/doctors/mohammad-dadsetan-560738
2978,Cedars-Sinai Medical Center,Internship,/doctors/haroutun-abrahamian-716654
2979,Bridgeport Hospital,Residency,/doctors/haroutun-abrahamian-716654
2980,Bridgeport Hospital,Internship,/doctors/haroutun-abrahamian-716654
2981,Sidney Kimmel Medical College at Thomas Jefferson University,Residency,/doctors/norman-silverman-449189
2982,Presbyterian Medical Center (UPHS),Fellowship,/doctors/norman-silverman-449189
2994,University of California (Irvine),Residency,/doctors/frederick-wolfe-353265
2995,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/frederick-wolfe-353265
2996,VA Greater Los Angeles Healthcare System,Fellowship,/doctors/frederick-wolfe-353265
2997,Zucker School of Medicine at Hofstra/Northwell,Residency,/doctors/farajallah-hanna-al-kass-641493
3001,University of Southern California/LACUSC Medical Center,Residency,/doctors/julie-alexander-98917
3002,San Joaquin General Hospital,Fellowship,/doctors/julie-alexander-98917
3003,University of Southern California/LACUSC Medical Center,Residency,/doctors/julie-alexander-98917
3004,San Joaquin General Hospital,Internship,/doctors/julie-alexander-98917
3005,University of Southern California/LACUSC Medical Center,Residency,/doctors/james-choi-67594
3006,UMass Memorial Health Care (Memorial Campus),Residency,/doctors/james-choi-67594
3008,University of Southern California/LACUSC Medical Center,Internship,/doctors/alan-karpman-104723
3009,University of Southern California/LACUSC Medical Center,Residency,/doctors/alan-karpman-104723
3011,New York Medical College,Residency,/doctors/thomas-kim-104970
3012,Rutgers New Jersey Medical School,Residency,/doctors/thomas-kim-104970
3013,Rutgers New Jersey Medical School,Residency,/doctors/thomas-kim-104970
3014,New York Medical College,Residency,/doctors/thomas-kim-104970
3015,Rutgers New Jersey Medical School,Residency,/doctors/thomas-kim-104970
3016,Rutgers New Jersey Medical School,Residency,/doctors/thomas-kim-104970
3017,Icahn School of Medicine at Mount Sinai,Residency,/doctors/myungsun-moon-122003
3018,NYU Long Island School of Medicine,Residency,/doctors/myungsun-moon-122003
3020,University of Southern California/LACUSC Medical Center,Internship,/doctors/nancy-suminski-121387
3021,University of Southern California/LACUSC Medical Center,Residency,/doctors/nancy-suminski-121387
3022,University of Southern California/LACUSC Medical Center,Internship,/doctors/nathan-copelan-608220
3023,University of Southern California/LACUSC Medical Center,Fellowship,/doctors/nathan-copelan-608220
3024,Scripps Mercy Hospital,Residency,/doctors/nathan-copelan-608220
3025,University of Southern California/LACUSC Medical Center,Internship,/doctors/nathan-copelan-608220
3026,University of Southern California/LACUSC Medical Center,Fellowship,/doctors/nathan-copelan-608220
3027,Scripps Mercy Hospital,Residency,/doctors/nathan-copelan-608220
3028,Drexel University College of Medicine/Hahnemann University,Internship,/doctors/idil-hersi-1175000
3029,SUNY Downstate Health Sciences University,Fellowship,/doctors/idil-hersi-1175000
3031,Icahn School of Medicine at Mount Sinai,Residency,/doctors/seong-cheon-kim-1022230
3032,University of California (Irvine),Internship,/doctors/seong-cheon-kim-1022230
3033,Sidney Kimmel Medical College at Thomas Jefferson University,Residency,/doctors/seong-cheon-kim-1022230
3034,Los Angeles County-Harbor-UCLA Medical Center,Residency,/doctors/seong-cheon-kim-1022230
3035,University of Southern California/LACUSC Medical Center,Fellowship,/doctors/paymann-moin-608265
3036,University of Southern California/LACUSC Medical Center,Residency,/doctors/paymann-moin-608265
3037,Allegheny General Hospital - Western Pennsylvania Hospital,Internship,/doctors/eliho-pakravan-913188
3039,University of Southern California/LACUSC Medical Center,Internship,/doctors/patrick-sheldon-64920
3040,Scripps Mercy Hospital,Residency,/doctors/patrick-sheldon-64920
3041,UCSF Health,Internship,/doctors/joseph-dixon-481777
3042,Mount Auburn Hospital,Residency,/doctors/joseph-dixon-481777
3043,California Pacific Medical Center,Internship,/doctors/joseph-dixon-481777
3074,UCSF Health,Other Training,/doctors/joseph-dixon-481777
3075,Mount Auburn Hospital,Residency,/doctors/joseph-dixon-481777
3076,California Pacific Medical Center,Internship,/doctors/joseph-dixon-481777
3107,Stanford Health Care,Fellowship,/doctors/andrew-campion-1186906
3108,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/cecil-patel-936269
3109,University of Southern California/LACUSC Medical Center,Residency,/doctors/alyssa-watanabe-230827
3110,University of Washington School of Medicine,Fellowship,/doctors/alyssa-watanabe-230827
3111,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/alyssa-watanabe-230827
3112,Huntington Memorial Hospital,Residency,/doctors/alyssa-watanabe-230827
3122,University of Southern California/LACUSC Medical Center,Internship,/doctors/alyssa-watanabe-230827
3123,University of Washington School of Medicine,Residency,/doctors/alyssa-watanabe-230827
3124,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/alyssa-watanabe-230827
3125,Huntington Memorial Hospital,Residency,/doctors/alyssa-watanabe-230827
3137,Duke University Hospital,Residency,/doctors/wendy-tien-770784
3138,University of Pennsylvania Health System,Internship,/doctors/wendy-tien-770784
3139,Albert Einstein Healthcare Network,Residency,/doctors/wendy-tien-770784
3142,NYU Grossman School of Medicine,Residency,/doctors/michael-im-898657
3143,University of California (Irvine),Internship,/doctors/michael-im-898657
3145,Adventist Health White Memorial,Internship,/doctors/edward-gabriel-422577
3146,Adventist Health White Memorial,Residency,/doctors/mary-spencer-smith-422561
3147,Adventist Health White Memorial,Residency,/doctors/mary-spencer-smith-422561
3148,Adventist Health White Memorial,Internship,/doctors/james-wolfsen-435596
3149,Naval Hospital (Camp Pendleton),Residency,/doctors/james-wolfsen-435596
3151,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/sean-johnston-723017
3152,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/sean-johnston-723017
3153,UCSF Fresno Medical Education Program,Residency,/doctors/sean-johnston-723017
3168,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/sean-johnston-723017
3169,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/sean-johnston-723017
3170,UCSF Fresno Medical Education Program,Internship,/doctors/sean-johnston-723017
3185,Adventist Health White Memorial,Residency,/doctors/michael-neglio-414134
3186,Adventist Health White Memorial,Residency,/doctors/michael-neglio-414134
3187,University of Southern California/LACUSC Medical Center,Residency,/doctors/ruben-brechner-410153
3188,University of California (Irvine),Internship,/doctors/linh-bui-306967
3189,Adventist Health White Memorial,Residency,/doctors/linh-bui-306967
3191,University of California (Irvine),Residency,/doctors/linh-bui-306967
3192,Adventist Health White Memorial,Internship,/doctors/linh-bui-306967
3194,Los Angeles County-Harbor-UCLA Medical Center,Residency,/doctors/samantha-kaura-646952
3195,University of Southern California/LACUSC Medical Center,Residency,/doctors/samantha-kaura-646952
3202,University of Virginia Medical Center,Residency,/doctors/arman-yaghoubian-729346
3203,University of Virginia Medical Center,Internship,/doctors/arman-yaghoubian-729346
3204,Loma Linda University Health Education Consortium,Fellowship,/doctors/arman-yaghoubian-729346
3206,University of Virginia Medical Center,Internship,/doctors/arman-yaghoubian-729346
3207,University of Virginia Medical Center,Residency,/doctors/arman-yaghoubian-729346
3208,Loma Linda University Health Education Consortium,Internship,/doctors/arman-yaghoubian-729346
3210,Kaiser Permanente Southern California,Internship,/doctors/joseph-kang-2461541
3211,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/daniel-bradley-1220650
3213,University of Southern California/LACUSC Medical Center,Residency,/doctors/mustafa-khan-1181038
3214,Kaiser Permanente Southern California,Internship,/doctors/mustafa-khan-1181038
3216,University of Southern California/LACUSC Medical Center,Residency,/doctors/mustafa-khan-1181038
3217,Kaiser Permanente Southern California,Residency,/doctors/mustafa-khan-1181038
3219,University of Southern California/LACUSC Medical Center,Internship,/doctors/matthew-charms-362670
3220,Cleveland Clinic Foundation,Residency,/doctors/matthew-charms-362670
3222,Santa Barbara Cottage Hospital,Residency,/doctors/bedro-jin-1100615
3224,Icahn School of Medicine at Mount Sinai,Fellowship,/doctors/samuel-tokuyama-742995
3225,USPHS Hospital,Fellowship,/doctors/samuel-tokuyama-742995
3226,USPHS Hospital,Residency,/doctors/samuel-tokuyama-742995
3227,Icahn School of Medicine at Mount Sinai,Internship,/doctors/samuel-tokuyama-742995
3228,USPHS Hospital,"Residency, Radiology",/doctors/samuel-tokuyama-742995
3229,USPHS Hospital,Residency,/doctors/samuel-tokuyama-742995
3230,University of Toledo,Internship,/doctors/hosam-moustafa-414506
3231,John R Oishei Childrens Hospital,Residency,/doctors/hosam-moustafa-414506
3234,UCLA David Geffen School of Medicine/UCLA Medical Center,Internship,/doctors/michael-douek-400426
3235,VA Greater Los Angeles Healthcare System,Residency,/doctors/michael-douek-400426
3236,Stanford Health Care,Internship,/doctors/cheryl-hoffman-812544
3237,University of California (Irvine),Residency,/doctors/cheryl-hoffman-812544
3238,University of California (Irvine),Internship,/doctors/cheryl-hoffman-812544
3241,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/melissa-joines-774219
3242,VA Greater Los Angeles Healthcare System,Internship,/doctors/melissa-joines-774219
3243,University of Southern California/LACUSC Medical Center,Residency,/doctors/susan-wang-716670
3244,Los Angeles County-Harbor-UCLA Medical Center,Internship,/doctors/susan-wang-716670
3254,University of Southern California/LACUSC Medical Center,Residency,/doctors/susan-wang-716670
3255,Los Angeles County-Harbor-UCLA Medical Center,Internship,/doctors/susan-wang-716670
3265,Tulane University School of Medicine,Residency,/doctors/sean-johnston-757343
3266,Tulane University School of Medicine,Internship,/doctors/sean-johnston-757343
3267,"Saint Joseph Hospital, Inc",Residency,/doctors/sean-johnston-757343
3268,Meharry Medical College School of Medicine,Internship,/doctors/sean-johnston-757343
3272,University of Southern California/LACUSC Medical Center,"Fellowship, University of Southern California/LAC+USC Medical Center",/doctors/anandh-rajamohan-601770
3273,University of Michigan Health System,Residency,/doctors/anandh-rajamohan-601770
3274,Summa Health System,Internship,/doctors/anandh-rajamohan-601770
3277,University of Southern California/LACUSC Medical Center,Residency,/doctors/jeffrey-streb-898834
3278,NYU Long Island School of Medicine,Residency,/doctors/jeffrey-streb-898834
3279,Stony Brook University Health Sciences Center School of Medicine,Residency,/doctors/jeffrey-streb-898834
3280,Stony Brook Medicine,Internship,/doctors/jeffrey-streb-898834
3281,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/jeffrey-streb-898834
3282,University of Southern California/LACUSC Medical Center,Residency,/doctors/jeffrey-streb-898834
3283,NYU Long Island School of Medicine,Internship,/doctors/jeffrey-streb-898834
3284,Stony Brook University Health Sciences Center School of Medicine,Residency,/doctors/jeffrey-streb-898834
3285,Stony Brook Medicine,Internship,/doctors/jeffrey-streb-898834
3286,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/jeffrey-streb-898834
3287,University of Southern California/LACUSC Medical Center,Internship,/doctors/jeanne-lammering-900229
3288,Santa Clara Valley Medical Center,Residency,/doctors/jeanne-lammering-900229
3289,Harbor - UCLA Medical Center,Internship,/doctors/rita-krane-716604
3290,University of Southern California/LACUSC Medical Center,Residency,/doctors/stuart-schroff-728536
3291,Huntington Memorial Hospital,Internship,/doctors/stuart-schroff-728536
3292,Massachusetts General Hospital,Fellowship,/doctors/heeseop-shin-748840
3293,UMass Chan Medical School,Residency,/doctors/heeseop-shin-748840
3294,University of Connecticut School of Medicine,Residency,/doctors/heeseop-shin-748840
3298,Massachusetts General Hospital,Residency,/doctors/heeseop-shin-748840
3299,UMass Chan Medical School,Residency,/doctors/heeseop-shin-748840
3300,University of Connecticut School of Medicine,Internship,/doctors/heeseop-shin-748840
3304,University of Southern California/LACUSC Medical Center,Internship,/doctors/deborah-forrester-382321
3305,Los Angeles County-Harbor-UCLA Medical Center,Residency,/doctors/deborah-forrester-382321
3306,University of Florida College of Medicine,Internship,/doctors/george-lacy-358982
3307,University of Florida College of Medicine,Residency,/doctors/george-lacy-358982
3309,University of Florida College of Medicine,Residency,/doctors/george-lacy-358982
3310,University of Florida College of Medicine,Internship,/doctors/george-lacy-358982
3312,University of Southern California/LACUSC Medical Center,Internship,/doctors/shannon-navarro-1896762
3313,Kaiser Permanente Southern California,Residency,/doctors/shannon-navarro-1896762
3314,University of Southern California/LACUSC Medical Center,"Residency, University of Southern California/LAC+USC Medical Center",/doctors/rakhee-verma-608800
3315,Icahn School of Medicine at Mount Sinai,Residency,/doctors/rakhee-verma-608800
3319,University of Southern California/LACUSC Medical Center,Fellowship,/doctors/linda-vachon-395584
3320,USPHS Hospital,Residency,/doctors/linda-vachon-395584
3323,University of Southern California/LACUSC Medical Center,Internship,/doctors/brian-luu-939980
3324,"University of California, Irvine, School of Medicine",Fellowship,/doctors/brian-luu-939980
3325,Brown University,Residency,/doctors/brian-luu-939980
3326,University of Southern California/LACUSC Medical Center,Internship,/doctors/nhi-huynh-716364
3327,Creighton University School of Medicine,Residency,/doctors/nhi-huynh-716364
3328,Creighton University School of Medicine,Residency,/doctors/nhi-huynh-716364
3331,University of California (San Francisco) School of Medicine,Internship,/doctors/joseph-giaconi-608587
3332,University of Southern California/LACUSC Medical Center,Residency,/doctors/joseph-giaconi-608587
3333,University of Hawaii John A Burns School of Medicine,Internship,/doctors/joseph-giaconi-608587
3336,University of California (San Francisco) School of Medicine,Fellowship,/doctors/joseph-giaconi-608587
3337,University of Southern California/LACUSC Medical Center,Residency,/doctors/joseph-giaconi-608587
3338,University of Hawaii John A Burns School of Medicine,Internship,/doctors/joseph-giaconi-608587
3341,University of Southern California/LACUSC Medical Center,Residency,/doctors/meade-johnson-402057
3342,University of Southern California/LACUSC Medical Center,Residency,/doctors/meade-johnson-402057
3343,University of Texas Health Science Center at Houston,Residency,/doctors/lee-myers-641262
3344,Marshfield Clinic,Internship,/doctors/lee-myers-641262
3346,University of Texas Health Science Center at Houston,Fellowship,/doctors/lee-myers-641262
3347,Marshfield Clinic,Residency,/doctors/lee-myers-641262
3349,University of Southern California/LACUSC Medical Center,Residency,/doctors/andrew-chong-1198294
3350,Gundersen Lutheran Medical Foundation,Internship,/doctors/andrew-chong-1198294
3351,Medical College of Wisconsin,Residency,/doctors/andrew-chong-1198294
3352,University of Southern California/LACUSC Medical Center,Internship,/doctors/erik-velez-1094804
3353,Kaiser Permanente Southern California,Fellowship,/doctors/erik-velez-1094804
3354,University of California (San Francisco) School of Medicine,Residency,/doctors/erik-velez-1094804
3355,University of Southern California/LACUSC Medical Center,Internship,/doctors/parth-patel-1227070
3356,University of North Carolina Hospitals,Residency,/doctors/parth-patel-1227070
3357,St Mary Mercy Hospital,Internship,/doctors/parth-patel-1227070
3360,Nassau University Medical Center,Residency,/doctors/anna-finkelstein-665882
3361,Montefiore Medical Center/Albert Einstein College of Medicine,Residency,/doctors/anna-finkelstein-665882
3362,Nassau University Medical Center,Residency,/doctors/anna-finkelstein-665882
3363,Montefiore Medical Center/Albert Einstein College of Medicine,Internship,/doctors/anna-finkelstein-665882
3364,The Dartmouth Institute,Fellowship,/doctors/robert-harris-975634
3365,,Residency,/doctors/robert-harris-975634
3366,University of Washington School of Medicine,Internship,/doctors/robert-harris-975634
3367,Massachusetts General Hospital,Residency,/doctors/robert-harris-975634
3368,University of Vermont College of Medicine,Internship,/doctors/robert-harris-975634
3373,University of Southern California/LACUSC Medical Center,Residency,/doctors/suzanne-palmer-412343
3374,University of California (Irvine),Internship,/doctors/suzanne-palmer-412343
3375,St Mary Medical Center,Fellowship,/doctors/suzanne-palmer-412343
3376,VA Greater Los Angeles Healthcare System,Residency,/doctors/suzanne-palmer-412343
3379,University of Southern California/LACUSC Medical Center,Internship,/doctors/shelby-lundahl-1038883
3380,Stanford Health Care,Residency,/doctors/steven-wong-2798547
3381,Kaiser Permanente Southern California,Internship,/doctors/steven-wong-2798547
3382,Stanford Health Care,Residency,/doctors/steven-wong-2798547
3383,Kaiser Permanente Southern California,Residency,/doctors/steven-wong-2798547
3384,Santa Clara Valley Medical Center,Fellowship,/doctors/scott-honowitz-1006611
3385,Brigham and Womens Hospital,Residency,/doctors/thomas-ng-1497392
3386,Cleveland Clinic Foundation,Internship,/doctors/peter-sachs-456464
3387,Case Western Reserve University/University Hospitals Cleveland Medical Center,Fellowship,/doctors/peter-sachs-456464
3388,Yale-New Haven Hospital,Residency,/doctors/peter-sachs-456464
3389,Yale-New Haven Hospital,Internship,/doctors/peter-sachs-456464
3391,Cleveland Clinic Foundation,Residency,/doctors/peter-sachs-456464
3392,Case Western Reserve University/University Hospitals Cleveland Medical Center,Internship,/doctors/peter-sachs-456464
3393,Yale-New Haven Hospital,Residency,/doctors/peter-sachs-456464
3394,Yale-New Haven Hospital,Residency,/doctors/peter-sachs-456464
3396,University of Southern California/LACUSC Medical Center,Residency,/doctors/samuel-rotenberg-282776
3397,University of Southern California/LACUSC Medical Center,Internship,/doctors/samuel-rotenberg-282776
3398,Huntington Memorial Hospital,Residency,/doctors/sean-bowman-1139434
3399,Loyola University Medical Center,Residency,/doctors/han-kim-308889
3400,Loyola University Medical Center,Other Training,/doctors/han-kim-308889
3402,Loyola University Medical Center,Fellowship,/doctors/han-kim-308889
3403,Loyola University Medical Center,Residency,/doctors/han-kim-308889
3405,UCLA David Geffen School of Medicine/UCLA Medical Center,Other Training,/doctors/phillip-cheng-663355
3406,Cedars-Sinai Medical Center,Fellowship,/doctors/phillip-cheng-663355
3407,Stanford University,Fellowship,/doctors/phillip-cheng-663355
3408,University of Pennsylvania Health System,Residency,/doctors/phillip-cheng-663355
3410,Childrens Hospital Los Angeles,Residency,/doctors/kellie-greenblatt-2933062
3411,Kaiser Permanente Southern California,Residency,/doctors/kellie-greenblatt-2933062
3412,Kaiser Permanente Southern California,Internship,/doctors/kellie-greenblatt-2933062
3414,Childrens Hospital Los Angeles,Internship,/doctors/kellie-greenblatt-2933062
3415,Kaiser Permanente Southern California,Residency,/doctors/kellie-greenblatt-2933062
3416,Kaiser Permanente Southern California,Internship,/doctors/kellie-greenblatt-2933062
3418,Mercy Catholic Medical Center,Residency,/doctors/mario-deguchi-341656
3421,Ohio State University College of Medicine,Residency,/doctors/robert-henderson-902236
3426,Boston University Medical Center,Fellowship,/doctors/armonde-baghdanian-822886
3427,Albert Einstein Healthcare Network,Residency,/doctors/armonde-baghdanian-822886
3430,Boston University Medical Center,Residency,/doctors/armonde-baghdanian-822886
3431,Albert Einstein Healthcare Network,Internship,/doctors/armonde-baghdanian-822886
3434,University of Southern California/LACUSC Medical Center,Internship,/doctors/anastasia-cruz-1151408
3435,University of California (Irvine),Fellowship,/doctors/anastasia-cruz-1151408
3436,Christiana Care Health Services Inc,Residency,/doctors/anastasia-cruz-1151408
3437,University of Southern California/LACUSC Medical Center,Residency,/doctors/bonnie-garon-655641
3438,McGaw Medical Center of Northwestern University,Residency,/doctors/bonnie-garon-655641
3439,MedStar Health,Internship,/doctors/edward-grant-24738
3440,MedStar Health,Residency,/doctors/edward-grant-24738
3441,Lewis Katz School of Medicine at Temple University,Internship,/doctors/edward-grant-24738
3442,MedStar Health,Residency,/doctors/edward-grant-24738
3443,MedStar Health,Internship,/doctors/edward-grant-24738
3444,Lewis Katz School of Medicine at Temple University,Residency,/doctors/edward-grant-24738
3445,Albert Einstein Healthcare Network,Fellowship,/doctors/jordan-gross-886664
3446,George Washington University School of Medicine,Residency,/doctors/jordan-gross-886664
3450,University of Southern California/LACUSC Medical Center,Internship,/doctors/sue-hanks-966517
3451,UPMC Medical Education,Fellowship,/doctors/sue-hanks-966517
3452,Marshall University School of Medicine,Residency,/doctors/sue-hanks-966517
3454,University of Washington School of Medicine,Fellowship,/doctors/michael-katz-402058
3455,University of Southern California/LACUSC Medical Center,Residency,/doctors/michael-katz-402058
